user, technique, session, word, len, class, correct, tapping_durations, selection_durations, point_distance, gesture_length, word_length
gd, dwell, 3, with, 4, Click, Yes, 2.835, 0.945, 0.249770622262, 11.3028617793, 10.8027756377
gd, dwell, 3, new, 3, Click, Yes, 1.84, 1.079, 0.320508252732, 4.92767875275, 5.472135955
gd, dwell, 3, electrical, 10, Click, No, 11.26, 0.912, 2.45196213565, 34.9111452021, 37.7898007515
gd, dwell, 3, panel, 5, Click, Yes, 4.941, 0.0, 0.15458932281, 24.5936895943, 25.197400502
gd, dwell, 4, be, 2, Click, Yes, 1.16, 1.228, 0.293502279737, 3.81907292683, 3.60555127546
gd, dwell, 4, persistent, 10, Click, Yes, 10.532, 1.973, 0.231658512459, 33.1617804986, 32.9762610085
gd, dwell, 4, to, 2, Click, Yes, 1.194, 1.46, 0.11109933028, 3.99723236592, 4.0
gd, dwell, 4, win, 3, Click, Yes, 2.073, 0.995, 0.236766801983, 7.76708402152, 8.2360679775
gd, dwell, 4, a, 1, Click, Yes, 0.0, 1.111, 0.394580336966, 0, 0
gd, dwell, 4, strike, 6, Click, No, 5.655, 0.0, 0.246999923009, 14.4393115998, 14.4007863361
gd, dwell, 4, not, 3, Click, Yes, 4.661, 1.327, 0.365281312927, 6.79037862872, 6.82842712475
gd, dwell, 4, quite, 5, Click, Yes, 5.091, 0.995, 0.251094790942, 12.8795223774, 12.0
gd, dwell, 4, so, 2, Click, Yes, 1.343, 4.361, 0.292770213551, 6.25630986744, 6.57647321898
gd, dwell, 4, smart, 5, Click, No, 4.377, 0.813, 0.288086635747, 16.3125689096, 15.8592255663
gd, dwell, 4, as, 2, Click, Yes, 2.04, 1.642, 0.196118265798, 0.88453581639, 1.0
gd, dwell, 4, you, 3, Click, Yes, 2.09, 1.028, 0.244243006483, 4.73631589821, 5.0
gd, dwell, 4, think, 5, Click, Yes, 3.914, 0.0, 0.185997811022, 7.22201067229, 7.6443948907
gd, dwell, 4, stability, 9, Click, Yes, 8.144, 1.028, 0.181197092227, 20.3982229617, 21.3763879771
gd, dwell, 4, of, 2, Click, Yes, 0.995, 1.277, 0.101271041756, 4.44597331207, 4.60977222865
gd, dwell, 4, the, 3, Click, Yes, 2.123, 0.978, 0.122581715137, 5.10536486981, 5.44283058237
gd, dwell, 4, nation, 6, Click, Yes, 5.108, 0.0, 0.127743800683, 15.9203319329, 16.0586520131
gd, dwell, 4, please, 6, Click, Yes, 4.363, 0.945, 0.179560037585, 11.9754796752, 11.6153168342
gd, dwell, 4, try, 3, Click, Yes, 1.724, 1.078, 0.177355440582, 2.74109785556, 3.0
gd, dwell, 4, to, 2, Click, Yes, 0.912, 0.912, 0.0728854624957, 4.14197251641, 4.0
gd, dwell, 4, be, 2, Click, Yes, 0.946, 1.078, 0.235973615829, 3.80607821208, 3.60555127546
gd, dwell, 4, home, 4, Click, Yes, 2.803, 0.862, 0.0886224855359, 10.24582502, 10.3138151882
gd, dwell, 4, before, 6, Click, Yes, 4.544, 1.078, 0.158021638057, 15.7983651416, 16.0180991418
gd, dwell, 4, midnight, 8, Select, Yes, 7.015, 2.538, 0.231648404192, 18.0665408749, 17.9812531921
gd, dwell, 4, no, 2, Click, Yes, 1.011, 0.929, 0.0614621008488, 2.89960327812, 2.82842712475
gd, dwell, 4, exchange, 8, Click, Yes, 6.734, 0.846, 0.166646696323, 20.2630987341, 20.7781103886
gd, dwell, 4, without, 7, Click, Yes, 11.873, 1.045, 0.200045006444, 16.2880092277, 17.4953580413
gd, dwell, 4, a, 1, Click, No, 4.029, 0.0, 0.13993044331, 9.49860474186, 0
gd, dwell, 4, sit, 3, Click, Yes, 2.139, 0.896, 0.130458167602, 8.3248573014, 8.59016994375
gd, dwell, 4, at, 2, Click, Yes, 0.995, 0.946, 0.178021059589, 3.94458134217, 3.64005494464
