technique, word, len, class, correct, tapping_durations, selection_durations, point_distance, gesture_length
dwell, a, 1, Click, Yes, 0.0, 1.111, 0.394580336966, 0
dwell, strike, 6, Click, No, 5.655, 0.0, 0.246999923009, 14.4393115998
dwell, not, 3, Click, Yes, 4.661, 1.327, 0.365281312927, 6.79037862872
dwell, quite, 5, Click, Yes, 5.091, 0.995, 0.251094790942, 12.8795223774
dwell, so, 2, Click, Yes, 4.494, 4.361, 0.292770213551, 6.25630986744
dwell, smart, 5, Click, No, 4.377, 0.813, 0.288086635747, 16.3125689096
dwell, as, 2, Click, Yes, 2.04, 1.642, 0.196118265798, 0.88453581639
dwell, you, 3, Click, Yes, 2.09, 1.028, 0.244243006483, 4.73631589821
dwell, think, 5, Click, Yes, 3.914, 0.0, 0.185997811022, 7.22201067229
dwell, stability, 9, Click, Yes, 8.144, 1.028, 0.181197092227, 20.3982229617
dwell, of, 2, Click, Yes, 0.995, 1.277, 0.101271041756, 4.44597331207
dwell, the, 3, Click, Yes, 2.123, 0.978, 0.122581715137, 5.10536486981
dwell, nation, 6, Click, Yes, 5.108, 0.0, 0.127743800683, 15.9203319329
dwell, please, 6, Click, Yes, 4.363, 0.945, 0.179560037585, 11.9754796752
dwell, try, 3, Click, Yes, 1.724, 1.078, 0.177355440582, 2.74109785556
dwell, to, 2, Click, Yes, 0.912, 0.912, 0.0728854624957, 4.14197251641
dwell, be, 2, Click, Yes, 0.946, 1.078, 0.235973615829, 3.80607821208
dwell, home, 4, Click, Yes, 2.803, 0.862, 0.0886224855359, 10.24582502
dwell, before, 6, Click, Yes, 4.544, 1.078, 0.158021638057, 15.7983651416
dwell, midnight, 8, Select, Yes, 7.015, 2.538, 0.231648404192, 18.0665408749
dwell, no, 2, Click, Yes, 1.011, 0.929, 0.0614621008488, 2.89960327812
dwell, exchange, 8, Click, Yes, 9.221, 0.846, 0.166646696323, 20.2630987341
dwell, without, 7, Click, Yes, 14.443, 1.045, 0.200045006444, 16.2880092277
dwell, a, 1, Click, No, 4.029, 0.0, 0.13993044331, 9.49860474186
dwell, sit, 3, Click, Yes, 2.139, 0.896, 0.130458167602, 8.3248573014
dwell, at, 2, Click, Yes, 0.995, 0.946, 0.178021059589, 3.94458134217
dwell, the, 3, Click, Yes, 1.907, 0.83, 0.0934275680677, 5.19281860771
dwell, front, 5, Click, Yes, 3.631, 1.012, 0.193943216511, 11.2723283993
dwell, of, 2, Click, Yes, 1.045, 0.978, 0.254891389628, 4.59265057283
dwell, the, 3, Click, Yes, 1.923, 0.929, 0.171081819075, 5.74316014767
dwell, bus, 3, Click, Yes, 2.055, 0.0, 0.179977600217, 6.58163046943
dwell, do, 2, Click, Yes, 1.31, 0.962, 0.238831396446, 5.92806701118
dwell, not, 3, Click, Yes, 2.056, 1.012, 0.146305456832, 6.91175118457
dwell, drink, 5, Click, Yes, 3.682, 0.994, 0.152443540168, 9.27565088382
dwell, the, 3, Click, Yes, 1.891, 1.011, 0.0653758850381, 5.33803920038
dwell, water, 5, Click, Yes, 3.416, 0.0, 0.121671786579, 7.67874478292
dwell, the, 3, Click, Yes, 2.023, 0.995, 0.131563069026, 5.29011561667
dwell, library, 7, Click, Yes, 5.589, 1.111, 0.168379263753, 14.8541067154
dwell, is, 2, Click, Yes, 1.095, 0.912, 0.0660728235704, 5.65976509522
dwell, closed, 6, Click, Yes, 4.262, 1.128, 0.207399223512, 14.6137346114
dwell, today, 5, Click, Yes, 3.748, 0.0, 0.151422181575, 16.0541389598
dwell, my, 2, Click, Yes, 0.779, 1.095, 0.115405690841, 2.60675634593
dwell, bike, 4, Click, Yes, 3.134, 0.912, 0.159463616191, 8.87169656589
dwell, has, 3, Click, Yes, 1.642, 0.962, 0.135917062693, 6.5872275102
dwell, a, 1, Click, Yes, 1.094, 2.255, 0.157948445022, 0
dwell, flat, 4, Click, Yes, 3.847, 0.948, 0.265218127205, 15.9232204963
dwell, tire, 4, Click, Yes, 2.737, 0.0, 0.150254467015, 8.08653364792
dwell, my, 2, Click, Yes, 1.078, 0.961, 0.188807324803, 3.06549123098
dwell, watch, 5, Click, Yes, 3.632, 0.961, 0.225097292992, 10.630040099
dwell, fell, 4, Click, Yes, 2.653, 0.995, 0.143567243023, 8.4275069494
dwell, in, 2, Click, Yes, 0.928, 0.912, 0.21295369814, 1.87066674627
dwell, the, 3, Click, Yes, 1.99, 0.879, 0.132786381857, 5.03928594918
dwell, water, 5, Click, Yes, 3.415, 0.0, 0.190251291535, 7.65202685227
dwell, we, 2, Click, Yes, 0.812, 1.012, 0.316269840694, 0.754338023934
dwell, missed, 6, Click, Yes, 4.543, 0.996, 0.200232268799, 9.49653390109
dwell, your, 4, Click, Yes, 3.581, 0.995, 0.190864441514, 7.70448796918
dwell, birthday, 8, Click, No, 6.55, 0.0, 0.171377345465, 18.8603296691
